Date,10YYSS
10/27/2014,-12.735
10/24/2014,-12.648
10/23/2014,-11.944
10/22/2014,-11.504
10/21/2014,-12.055
10/20/2014,-12.263
10/17/2014,-13.684
10/16/2014,-14.536
10/15/2014,-14.136
10/14/2014,-12.558
10/13/2014,-12.134
10/10/2014,-12.134
10/9/2014,-12.333
10/8/2014,-12.503
10/7/2014,-14.861
10/6/2014,-14.374
10/3/2014,-14.426
10/2/2014,-13.357
10/1/2014,-14
9/30/2014,-13.416
9/29/2014,-13.204
9/26/2014,-11.446
9/25/2014,-12.035
9/24/2014,-11.741
9/23/2014,-10.993
9/22/2014,-10.945
9/19/2014,-12.287
9/18/2014,-12.846
9/17/2014,-13.32
9/16/2014,-13.36
9/15/2014,-13.114
9/12/2014,-12.429
9/11/2014,-12.329
9/10/2014,-12.676
9/9/2014,-12.082
9/8/2014,-11.521
9/5/2014,-11.425
9/4/2014,-11.236
9/3/2014,-11.263
9/2/2014,-12.577
8/29/2014,-14.857
8/28/2014,-14.533
8/27/2014,-14.149
8/26/2014,-13.668
8/25/2014,-13.637
8/22/2014,-14.183
8/21/2014,-14.498
8/20/2014,-15.09
8/19/2014,-15.263
8/18/2014,-14.943
8/15/2014,-14.924
8/14/2014,-12.451
8/13/2014,-12.044
8/12/2014,-12.597
8/11/2014,-13.162
8/8/2014,-13.123
8/7/2014,-12.045
8/6/2014,-11.895
8/5/2014,-11.796
8/4/2014,-11.424
8/1/2014,-11.57
7/31/2014,-11.314
7/30/2014,-10.564
7/29/2014,-10.913
7/28/2014,-10.213
7/25/2014,-10.239
7/24/2014,-9.787
7/23/2014,-10.324
7/22/2014,-10.321
7/21/2014,-10.082
7/18/2014,-9.553
7/17/2014,-9.633
7/16/2014,-8.901
7/15/2014,-8.861
7/14/2014,-8.865
7/11/2014,-9.064
7/10/2014,-9.031
7/9/2014,-8.126
7/8/2014,-7.817
7/7/2014,-7.799
7/4/2014,-7.88
7/3/2014,-7.88
7/2/2014,-8.076
7/1/2014,-8.438
6/30/2014,-8.243
6/27/2014,-8.987
6/26/2014,-9.036
6/25/2014,-8.541
6/24/2014,-8.204
6/23/2014,-7.476
6/20/2014,-7.622
6/19/2014,-7.953
6/18/2014,-8.277
6/17/2014,-8.055
6/16/2014,-8.834
6/13/2014,-8.735
6/12/2014,-9.061
6/11/2014,-9.442
6/10/2014,-10.351
6/9/2014,-10.877
6/6/2014,-10.827
6/5/2014,-10.861
6/4/2014,-10.768
6/3/2014,-10.302
6/2/2014,-10.093
5/30/2014,-10.101
5/29/2014,-9.308
5/28/2014,-9.095
5/27/2014,-8.913
5/26/2014,-8.94
5/23/2014,-8.94
5/22/2014,-8.822
5/21/2014,-9.034
5/20/2014,-9.821
5/19/2014,-9.831
5/16/2014,-9.642
5/15/2014,-8.615
5/14/2014,-8.338
5/13/2014,-8.001
5/12/2014,-7.326
5/9/2014,-8.111
5/8/2014,-7.652
5/7/2014,-8.145
5/6/2014,-9.009
5/5/2014,-9.498
5/2/2014,-9.232
5/1/2014,-8.725
4/30/2014,-8.051
4/29/2014,-7.519
4/28/2014,-8.237
4/25/2014,-8.678
4/24/2014,-8.192
4/23/2014,-8.253
4/22/2014,-8.651
4/21/2014,-8.997
4/18/2014,-9.691
4/17/2014,-9.938
4/16/2014,-10.21
4/15/2014,-10.007
4/14/2014,-9.736
4/11/2014,-9.502
4/10/2014,-9.325
4/9/2014,-9.243
4/8/2014,-9.716
4/7/2014,-10.016
4/4/2014,-9.77
4/3/2014,-9.893
4/2/2014,-10.157
4/1/2014,-10.674
3/31/2014,-10.624
3/28/2014,-10.505
3/27/2014,-10.711
3/26/2014,-10.461
3/25/2014,-10.614
3/24/2014,-10.395
3/21/2014,-10.259
3/20/2014,-10.576
3/19/2014,-10.015
3/18/2014,-10.373
3/17/2014,-10.391
3/14/2014,-10.183
3/13/2014,-9.517
3/12/2014,-9.101
3/11/2014,-8.854
3/10/2014,-9.005
3/7/2014,-9.551
3/6/2014,-9.988
3/5/2014,-9.822
3/4/2014,-10.731
3/3/2014,-11.514
2/28/2014,-10.429
2/27/2014,-9.586
2/26/2014,-9.1
2/25/2014,-8.789
2/24/2014,-8.938
2/21/2014,-9.316
2/20/2014,-9.653
2/19/2014,-10.655
2/18/2014,-10.84
2/17/2014,-9.353
2/14/2014,-10.319
2/13/2014,-9.898
2/12/2014,-9.589
2/11/2014,-8.748
2/10/2014,-8.398
2/7/2014,-9.249
2/6/2014,-9.656
2/5/2014,-10.261
2/4/2014,-10.845
2/3/2014,-10.698
1/31/2014,-10.554
1/30/2014,-9.789
1/29/2014,-10.437
1/28/2014,-9.55
1/27/2014,-9.194
1/24/2014,-9.138
1/23/2014,-8.941
1/22/2014,-8.068
1/21/2014,-7.564
1/20/2014,-8.396
1/17/2014,-8.309
1/16/2014,-7.662
1/15/2014,-7.357
1/14/2014,-6.621
1/13/2014,-5.61
1/10/2014,-6.604
1/9/2014,-5.985
1/8/2014,-4.763
1/7/2014,-4.582
1/6/2014,-4.375
1/3/2014,-4.496
1/2/2014,-4.582
1/1/2014,-4.453
12/31/2013,-4.442
12/30/2013,-3.418
12/27/2013,-3.801
12/26/2013,-4.791
12/25/2013,-4.978
12/24/2013,-5.001
12/23/2013,-4.933
12/20/2013,-4.718
12/19/2013,-4.606
12/18/2013,-3.644
12/17/2013,-3.823
12/16/2013,-4.135
12/13/2013,-4.769
12/12/2013,-4.603
12/11/2013,-4.851
12/10/2013,-5.512
12/9/2013,-4.55
12/6/2013,-5.427
12/5/2013,-5.607
12/4/2013,-5.788
12/3/2013,-8.027
12/2/2013,-7.946
11/29/2013,-7.809
11/28/2013,-7.458
11/27/2013,-6.927
11/26/2013,-6.68
11/25/2013,-5.729
11/22/2013,-6.088
11/21/2013,-3.676
11/20/2013,-3.824
11/19/2013,-4.789
11/18/2013,-6.052
11/15/2013,-6.429
11/14/2013,-8.263
11/13/2013,-8.977
11/12/2013,-7.829
11/11/2013,-8.543
11/8/2013,-8.454
11/7/2013,-8.707
11/6/2013,-9.039
11/5/2013,-10.519
